open,high,low,close,volume
3668.99,3685.1799,3658.6399,3679.4299,540628597
3668.72,3679.6899,3646.1299,3652.8401,592347478
3654.8501,3676.8899,3640.6299,3671.9299,636289738
3683.4199,3687.1599,3661.46,3662.6001,641540260
3670.0701,3701.27,3668.3401,3685.8101,621774632
3689.6799,3697.6001,3669.53,3679.1399,590712928
3691.8401,3702.0901,3663.75,3676.6001,588364794
3678.3101,3704.6499,3672.6399,3699.8,579040367
3703.48,3722.3799,3664.8301,3696.1001,635397512
3657.3101,3678.3799,3637.6699,3668.3701,529738231
3710.1899,3723.0,3706.8201,3719.9299,537506490
3721.53,3732.98,3715.3799,3727.1899,568112484
3735.8501,3738.3201,3709.4099,3720.9299,608396239
3736.9299,3737.3601,3686.9399,3703.3999,544429388
3702.1399,3709.77,3683.97,3706.3401,513927408
3715.8899,3725.71,3681.3701,3691.5,522296671
3678.3601,3707.2,3661.8701,3707.0601,547971976
3719.3601,3720.6101,3636.79,3651.49,631281897
3643.21,3656.9399,3626.8501,3627.8701,826566249
3653.1899,3678.3201,3651.1399,3662.51,518022181
3667.3999,3708.26,3664.79,3706.6201,542320516
3705.51,3709.01,3661.0601,3682.74,548863385
3675.6101,3705.3101,3665.8301,3693.97,554796299
3711.47,3717.3601,3643.3501,3653.0701,993403443
3665.3799,3665.5801,3585.1499,3617.3899,805846582
3640.26,3659.5901,3600.6499,3629.73,765739273
3645.73,3654.6899,3582.8401,3582.8899,767576028
3578.53,3594.0701,3543.0701,3563.1299,756945518
3576.1799,3609.0801,3560.5801,3571.49,616065567
3598.0801,3618.4199,3593.7,3595.74,597688733
3615.9099,3659.1599,3614.1599,3658.3999,656387753
3670.3301,3676.3601,3649.79,3665.99,683933313
3670.4299,3675.7,3617.4099,3637.5801,663170704
3659.9199,3663.78,3532.28,3539.3799,942960059
3522.21,3551.21,3482.75,3507.75,893004310
3511.8201,3543.98,3499.0,3538.23,838410974
3552.0701,3602.3501,3544.0901,3600.4399,746650542
3597.5801,3599.6399,3479.1499,3487.76,921941401
3453.24,3502.3301,3440.55,3446.8401,792179924
3479.6599,3493.1699,3443.26,3474.6299,592035682
3484.29,3505.6699,3414.1101,3487.8501,755480998
3517.5,3533.0901,3489.29,3533.0901,653547820
3526.5701,3551.02,3511.27,3534.53,647277650
3543.6499,3559.95,3525.5901,3559.95,480303593
3570.51,3596.9199,3566.8701,3588.8,576686183
3587.6499,3588.04,3555.1899,3557.04,556021213
3609.8201,3613.2,3552.9299,3591.03,784459482
3569.9199,3573.95,3525.6001,3533.1001,733039603
3546.96,3570.1101,3489.6001,3545.02,826629167
3557.77,3579.03,3538.24,3573.99,579902203
3556.0,3585.5,3548.1101,3582.02,660807718
3589.6599,3613.03,3580.02,3594.3601,606897152
3608.8401,3611.5601,3578.53,3587.6399,541326318
3566.26,3605.26,3556.3999,3605.0901,427868524
3598.27,3599.6499,3556.1001,3556.51,511048446
3561.47,3567.55,3506.3501,3546.47,800831503
3533.3899,3583.6399,3524.8501,3540.4199,653486818
3537.6799,3556.3501,3516.24,3555.7,524869690
3574.24,3613.3701,3572.6899,3612.73,523577192
3614.9099,3625.77,3605.78,3611.1299,590206838
3603.5801,3614.6299,3585.6799,3593.25,503468488
3594.5901,3598.3401,3542.6299,3565.1699,721892515
3568.2,3590.4099,3545.6299,3587.2,615893108
3577.8501,3618.96,3572.28,3615.6201,518190911
3612.8601,3624.6001,3585.8799,3600.3101,576092300
3605.79,3636.47,3605.51,3635.6101,537758708
3639.49,3660.5901,3633.8501,3650.8601,515133395
3656.27,3678.1699,3646.23,3677.3301,432381319
3693.1799,3723.0601,3691.0901,3723.0601,531770346
3720.8899,3726.72,3708.6499,3712.26,491424777
3723.27,3735.72,3717.6599,3735.72,487738644
3738.71,3741.5701,3716.0901,3736.8201,580276847
3740.71,3740.71,3707.8899,3732.96,441548601
3719.1699,3735.97,3715.46,3730.0701,485821793
3720.0,3750.01,3715.24,3743.5901,451352238
3748.3601,3782.0,3735.1899,3776.95,518318481
3792.4199,3795.1399,3782.1201,3794.5701,479951491
3795.8501,3804.04,3783.8999,3795.74,542349003
3790.48,3802.46,3786.5601,3800.8601,602754982
3789.4099,3803.95,3783.6101,3797.8501,528305234
3790.5901,3794.99,3751.6899,3763.8,536658600
3782.8401,3784.8401,3759.8701,3775.5601,537919249
3768.3701,3789.9299,3761.4199,3779.9299,478522499
3775.73,3790.9199,3769.9399,3781.3201,488707943
3786.1899,3807.49,3764.53,3804.6101,560005185
3808.76,3811.24,3783.3,3800.8,529328717
3803.1001,3807.9199,3794.51,3802.6399,768894720
3802.25,3806.1899,3794.8501,3805.3101,480834742
3807.49,3837.1699,3791.1201,3799.53,624879941
3794.8401,3831.8501,3792.3,3827.3301,551855131
3826.7,3827.7,3798.6299,3826.9099,479056105
3825.02,3844.8899,3823.21,3844.4399,559009700
3844.45,3860.6499,3841.7,3849.48,506750036
3864.1399,3902.9299,3863.8101,3894.3301,529032152
3895.1799,3904.3501,3890.77,3899.27,436826977
3911.1101,3923.1499,3901.3201,3923.01,295685457
3917.8899,3923.9199,3904.6699,3910.71,450443081
3903.3701,3906.22,3848.1799,3864.0701,650807992
3873.1699,3896.3799,3863.2,3892.9099,541559327
3837.29,3895.72,3837.1599,3880.04,507827793
3888.76,3905.3999,3879.3999,3904.5801,429062401
3923.6001,3937.73,3916.52,3929.46,465948646
3934.79,3940.55,3887.5,3914.46,573608989
3943.6001,3947.49,3927.0,3940.5,454034693
3921.8701,3933.8799,3866.22,3878.01,783795860
3899.3799,3942.1499,3894.5601,3939.8899,603473353
3933.1101,3941.9299,3917.74,3934.1399,487392636
3950.8301,3966.1001,3949.0901,3961.6201,542542540
3974.6599,3990.6399,3967.96,3986.1899,718902309
3994.1799,3997.5,3975.6599,3983.1899,730313091
3959.3501,3970.4399,3945.05,3965.1699,596360365
3966.3101,3977.0,3936.72,3967.24,629669082
3974.05,3983.4199,3957.22,3959.03,622272262
3982.1001,3989.0,3960.29,3976.0701,620213297
3938.3101,3948.8999,3889.1001,3892.5,727002099
3886.1001,3908.21,3855.3501,3879.6699,610503530
3890.6299,3922.25,3875.1001,3908.77,498970511
3891.1299,3901.1699,3858.6499,3874.9399,606861508
3851.4399,3896.6499,3849.45,3874.27,594362017
3889.6899,3895.74,3845.2,3857.9399,586569218
3864.0901,3890.6299,3848.49,3888.3301,538442844
3899.98,3921.1899,3899.3701,3910.46,426803466
3904.45,3916.73,3887.5801,3905.23,418584614
3924.47,3949.6899,3921.4399,3949.2,504579511
3953.27,3969.24,3949.0801,3969.1101,476744868
3993.0,3997.0801,3951.25,3987.51,623938694
4007.1899,4022.48,4003.46,4020.5,478977402
4025.51,4041.5,4024.1699,4040.1299,464519892
4032.9099,4046.97,4032.2,4040.71,454229344
4041.0,4048.95,4035.75,4047.03,444366862
4052.1399,4060.8999,4040.22,4052.75,391560615
4073.48,4079.52,4058.6001,4067.48,401967601
4073.04,4076.54,4062.73,4071.6699,379288763
4073.3999,4078.1899,4064.0601,4073.1799,430495344
4059.3701,4072.29,4054.6001,4066.27,404782046
4081.02,4082.97,4062.1799,4082.5601,411271658
4093.1201,4095.8701,4078.1899,4095.8101,547384392
4103.9702,4104.4302,4063.49,4070.96,591745328
4078.8201,4100.7798,4056.52,4066.1299,539335530
4067.3701,4089.98,4051.75,4089.9199,521868934
4086.52,4105.5,4076.6299,4095.47,533782678
4094.02,4110.8599,4053.1001,4061.8799,684995445
4063.8501,4095.9099,4054.6101,4094.97,522670337
4077.6899,4092.79,4060.9199,4092.6499,473884976
4087.1699,4089.6201,4057.53,4069.23,583917122
4070.2,4070.8201,4018.3,4029.8899,625874645
4012.52,4073.1399,4009.98,4067.27,598954099
4066.75,4090.95,4048.5801,4073.5701,560000437
4084.51,4103.4199,4080.8201,4103.0801,519426928
4113.02,4118.9102,4084.45,4100.0898,1119406368
4091.8701,4092.1399,4044.99,4061.23,642815488
4045.6699,4069.21,4043.26,4051.5701,603991217
